ano,mes,tentesp,zeuro,euribor,mibor,irs,deuda,bancos,cajas,ceca,ahe,ced
1986,Ene,-,-,-,-,-,-,-,-,-,-,-
1986,Feb,-,-,-,-,-,-,-,-,-,-,-
1986,Mar,-,-,-,-,-,-,-,-,-,"14,500",-
1986,Abr,-,-,-,-,-,-,-,-,-,-,-
1986,May,-,-,-,-,-,-,-,-,-,-,-
1986,Jun,-,-,-,-,-,-,-,-,-,"14,250",-
1986,Jul,-,-,-,-,-,-,-,-,-,-,-
1986,Ago,-,-,-,-,-,-,-,-,-,-,"9,510"
1986,Sep,-,-,-,-,-,-,-,-,-,"14,000","9,420"
1986,Oct,-,-,-,-,-,-,-,-,-,-,"9,370"
1986,Nov,-,-,-,-,-,-,-,-,-,-,"8,970"
1986,Dic,-,-,-,-,-,-,-,-,-,"13,500","8,970"
1987,Ene,-,-,-,-,-,-,-,-,-,-,"8,970"
1987,Feb,-,-,-,-,-,-,-,-,-,-,"8,980"
1987,Mar,-,-,-,-,-,-,-,-,-,"13,000","8,950"
1987,Abr,-,-,-,-,-,-,-,-,-,-,"8,950"
1987,May,-,-,-,-,-,-,-,-,-,-,"9,260"
1987,Jun,-,-,-,-,-,-,-,-,-,"13,500","9,840"
1987,Jul,-,-,-,-,-,-,-,-,-,-,"9,850"
1987,Ago,-,-,-,-,-,-,-,-,-,-,"9,850"
1987,Sep,-,-,-,-,-,-,-,-,-,"13,500","10,130"
1987,Oct,-,-,-,-,-,-,-,-,-,-,"9,970"
1987,Nov,-,-,-,-,-,-,-,-,-,-,"10,570"
1987,Dic,-,-,-,-,-,-,-,-,-,"13,500","10,100"
1988,Ene,-,-,-,-,-,-,-,-,-,-,"10,130"
1988,Feb,-,-,-,-,-,-,-,-,-,-,"10,390"
1988,Mar,-,-,-,"11,030",-,-,-,-,"13,750","13,250","10,480"
1988,Abr,-,-,-,"10,953",-,-,-,-,"13,750",-,"10,360"
1988,May,-,-,-,"11,279",-,-,-,-,"13,625",-,"10,180"
1988,Jun,-,-,-,"10,588",-,-,-,-,"13,625","13,000","10,420"
1988,Jul,-,-,-,"10,866",-,-,-,-,"13,500",-,"10,170"
1988,Ago,-,-,-,"11,039",-,-,-,-,"13,375",-,"9,950"
1988,Sep,-,-,-,"11,599",-,-,-,-,"13,250","12,750","9,840"
1988,Oct,-,-,-,"12,842",-,-,-,-,"13,750",-,"10,000"
1988,Nov,-,-,-,"13,024",-,-,-,-,"13,375",-,"10,020"
1988,Dic,-,-,-,"13,907",-,-,-,-,"13,250","12,750","10,110"
1989,Ene,-,-,-,"14,788",-,-,-,-,"13,750",-,"10,380"
1989,Feb,-,-,-,"14,996",-,-,-,-,"13,500",-,"10,380"
1989,Mar,-,-,-,"15,522",-,-,-,-,"13,750","13,250","10,560"
1989,Abr,-,-,-,"15,072",-,"13,172",-,-,"13,875",-,"10,510"
1989,May,-,-,-,"14,983",-,"13,395",-,-,"14,000",-,"10,530"
1989,Jun,-,-,-,"14,965",-,"13,568",-,-,"14,000","13,250","10,550"
1989,Jul,-,-,-,"15,250",-,"13,661",-,-,"14,125",-,"10,560"
1989,Ago,-,-,-,"15,047",-,"13,711",-,-,"14,500",-,"10,550"
1989,Sep,-,-,-,"14,766",-,"13,741",-,-,"14,500","14,500","11,050"
1989,Oct,-,-,-,"14,717",-,"13,779",-,-,"14,750",-,"11,350"
1989,Nov,-,-,-,"15,212",-,"13,833",-,-,"14,875",-,"11,590"
1989,Dic,-,-,-,"15,896",-,"13,940",-,-,"14,750","15,000","11,310"
1990,Ene,-,-,-,"15,643",-,"14,064",-,-,"14,875",-,"13,150"
1990,Feb,-,-,-,"15,703",-,"14,211",-,-,"15,000",-,"13,190"
1990,Mar,-,-,-,"15,786",-,"14,401",-,-,"15,250","15,250","13,260"
1990,Abr,-,-,-,"15,446",-,"14,556",-,-,"15,375",-,"13,850"
1990,May,-,-,-,"15,461",-,"14,665",-,-,"15,500",-,"14,270"
